Player,Team,Season,Position,Minutes,Dribbling,Fouling,Interrupting,Passing,Receiving,Shooting,Goals_Added,player_id
Riqui Puig,LAG,2024,CM,2874,3.0,0.68,-0.71,3.58,-0.12,1.63,8.06,10
Christian Benteke,DCU,2024,ST,2958,0.11,-0.09,-0.41,0.64,4.96,0.91,6.13,9
Cucho Hernández,CLB,2024,ST,2369,1.75,-0.2,0.31,2.49,0.12,1.47,5.94,25
Dénis Bouanga,LAFC,2024,W,3074,0.65,1.02,0.31,-0.11,2.23,1.79,5.9,18
Gabriel Pec,LAG,2024,W,3061,3.13,-0.23,-0.42,0.05,1.45,1.76,5.75,31
Lionel Messi,MIA,2024,W,1690,1.24,0.18,-0.37,1.92,0.87,1.63,5.47,1
Luciano Acosta,CIN,2024,AM,3068,3.13,0.02,0.45,1.68,-0.38,0.36,5.27,13
Federico Bernardeschi,TOR,2024,FB,2765,2.69,0.41,-0.03,-0.27,0.66,1.61,5.07,5
Luca Orellano,CIN,2024,FB,2905,2.3,-0.11,-0.16,-0.15,0.84,1.37,4.09,755
Jonathan Rodríguez,POR,2024,W,2723,0.39,0.03,-0.45,-0.29,2.73,1.27,3.68,29
Jordan Morris,SEA,2024,ST,3084,1.15,0.3,-0.67,-0.4,2.92,0.1,3.41,54
Evander,POR,2024,AM,2780,-0.28,0.13,-0.14,2.61,0.35,0.71,3.38,33
Kai Wagner,PHI,2024,FB,3290,-0.22,0.57,0.71,2.31,-0.19,-0.01,3.17,114
Saba Lobjanidze,ATL,2024,W,2728,0.67,0.17,-0.0,-0.99,2.27,1.02,3.14,125
Felipe Mora,POR,2024,ST,2109,0.76,0.5,-0.41,-0.85,2.38,0.61,3.0,73
Andrés Gómez,RSL,2024,W,2018,0.57,-0.13,-0.11,0.69,0.92,1.04,2.98,909
Robin Lod,MIN,2024,CM,2669,0.11,-0.07,0.47,3.06,-0.6,-0.02,2.94,59
William Agada,SKC,2024,ST,1947,-1.02,-0.25,0.2,-0.68,3.66,0.97,2.87,300
Santiago Rodríguez,NYC,2024,AM,3172,0.18,0.2,-0.04,2.34,-0.2,0.34,2.83,85
Cristian Olivera,LAFC,2024,W,1866,0.32,-0.2,0.32,-0.36,1.83,0.78,2.69,222
Aaron Herrera,DCU,2024,FB,2982,0.22,0.1,0.85,1.37,-0.01,0.09,2.62,155
Thiago Almada,ATL,2024,AM,1580,0.82,0.01,0.17,1.55,-0.4,0.45,2.59,915
