"","Player","Team","Season","Position","Minutes","Passes","Pass %","xPass %","Score","Per100","Distance","Vertical","Touch %","Games"
"","Alex Bono","DCU","2024","GK","2997","1050","63.2%","54.5%","92.18","8.78","45.91","40.40","7.0%","29"
"","Jack McGlynn","PHI","2024","CM","2613","1719","84.6%","80.1%","77.48","4.51","21.98","6.05","11.4%","30"
"","Jackson Ragen","SEA","2024","CB","3244","2094","90.1%","86.5%","73.94","3.53","23.53","9.14","10.9%","33"
"","Miki Yamane","LAG","2024","FB","3288","2213","88.8%","85.6%","69.90","3.16","16.45","1.38","10.2%","33"
"","Héctor Herrera","HOU","2024","DM","1807","1848","87.8%","84.1%","67.64","3.66","19.00","4.24","13.3%","22"
"","Djordje Mihailovic","COL","2024","AM","2778","1258","76.6%","71.3%","66.94","5.32","21.02","3.41","8.9%","29"
"","Amine Bassi","HOU","2024","AM","2788","1853","85.4%","81.9%","66.17","3.57","17.64","0.97","9.6%","31"
"","Thiago Martins","NYC","2024","CB","3193","2015","89.5%","86.3%","66.11","3.28","22.57","6.99","10.9%","31"
"","Mark Delgado","LAG","2024","CM","2759","2093","88.7%","85.6%","65.31","3.12","16.72","2.89","9.8%","32"
"","Maya Yoshida","LAG","2024","CB","3440","2354","93.1%","90.3%","64.99","2.76","20.57","6.90","10.3%","34"
"","Darlington Nagbe","CLB","2024","CM","2653","1512","95.8%","91.9%","60.09","3.97","16.67","0.59","8.1%","29"
"","Franco Escobar","HOU","2024","FB","2021","1478","89.1%","85.1%","58.85","3.98","15.69","2.56","10.0%","24"
"","Brooks Lennon","ATL","2024","FB","3357","1855","78.6%","75.4%","58.63","3.16","20.78","1.64","10.8%","33"
"","Jackson Yueill","SJE","2024","DM","2688","1543","88.8%","85.1%","57.81","3.75","19.29","5.73","9.3%","32"
"","Diego Chara","POR","2024","DM","2728","1396","91.1%","87.1%","55.81","4.00","19.01","4.52","7.9%","32"
"","Juan Mosquera","POR","2024","FB","3101","1658","83.2%","79.9%","54.70","3.30","18.38","0.77","9.2%","34"
"","Edwin Cerrillo","LAG","2024","DM","2325","1612","94.2%","90.9%","53.61","3.33","17.27","1.65","7.2%","33"
"","Steven Moreira","CLB","2024","CB","2430","1718","89.8%","86.9%","49.98","2.91","18.73","3.96","9.6%","27"
"","Kai Wagner","PHI","2024","FB","3290","1964","73.3%","70.8%","48.78","2.48","24.63","4.22","11.6%","34"
"","Carles Gil","NER","2024","AM","2566","1666","80.7%","77.8%","48.19","2.89","22.30","3.73","11.6%","26"
"","Gabriel Pec","LAG","2024","W","3061","1403","86.0%","82.6%","47.49","3.38","15.28","-3.58","7.8%","33"
"","Braian Ojeda","RSL","2024","DM","3033","1780","89.4%","86.8%","47.27","2.66","19.49","3.08","10.1%","33"
